Company,Total_Employees,Industry,Website,Funding_Date,Funding_Type,Extraction_Time,Page
Paceline,60,"health, wellness & fitness",http://www.paceline.fit,1-Jan-24,Series A,2025-04-14 01:32:59,7
Perplexity AI,36,information technology & services,http://www.perplexity.ai,4-Jan-24,Series B,2025-04-14 01:33:13,8
GSI Technology,240,semiconductors,http://www.gsitechnology.com,3-Jan-24,Grant,2025-04-14 01:33:13,8
Paceline,60,"health, wellness & fitness",http://www.paceline.fit,1-Jan-24,Series A,2025-04-14 01:33:13,8
Perplexity AI,36,information technology & services,http://www.perplexity.ai,4-Jan-24,Series B,2025-04-14 01:33:27,9
GSI Technology,240,semiconductors,http://www.gsitechnology.com,3-Jan-24,Grant,2025-04-14 01:33:27,9
Paceline,60,"health, wellness & fitness",http://www.paceline.fit,1-Jan-24,Series A,2025-04-14 01:33:27,9
Perplexity AI,36,information technology & services,http://www.perplexity.ai,4-Jan-24,Series B,2025-04-14 01:33:41,10
GSI Technology,240,semiconductors,http://www.gsitechnology.com,3-Jan-24,Grant,2025-04-14 01:33:41,10
Paceline,60,"health, wellness & fitness",http://www.paceline.fit,1-Jan-24,Series A,2025-04-14 01:33:41,10
Perplexity AI,36,information technology & services,http://www.perplexity.ai,4-Jan-24,Series B,2025-04-14 01:33:54,11
GSI Technology,240,semiconductors,http://www.gsitechnology.com,3-Jan-24,Grant,2025-04-14 01:33:55,11
Paceline,60,"health, wellness & fitness",http://www.paceline.fit,1-Jan-24,Series A,2025-04-14 01:33:55,11
Perplexity AI,36,information technology & services,http://www.perplexity.ai,4-Jan-24,Series B,2025-04-14 01:34:08,12
GSI Technology,240,semiconductors,http://www.gsitechnology.com,3-Jan-24,Grant,2025-04-14 01:34:08,12
Paceline,60,"health, wellness & fitness",http://www.paceline.fit,1-Jan-24,Series A,2025-04-14 01:34:08,12
Perplexity AI,36,information technology & services,http://www.perplexity.ai,4-Jan-24,Series B,2025-04-14 01:34:22,13
GSI Technology,240,semiconductors,http://www.gsitechnology.com,3-Jan-24,Grant,2025-04-14 01:34:22,13
Paceline,60,"health, wellness & fitness",http://www.paceline.fit,1-Jan-24,Series A,2025-04-14 01:34:22,13
Perplexity AI,36,information technology & services,http://www.perplexity.ai,4-Jan-24,Series B,2025-04-14 01:34:36,14
GSI Technology,240,semiconductors,http://www.gsitechnology.com,3-Jan-24,Grant,2025-04-14 01:34:36,14
Paceline,60,"health, wellness & fitness",http://www.paceline.fit,1-Jan-24,Series A,2025-04-14 01:34:36,14
Perplexity AI,36,information technology & services,http://www.perplexity.ai,4-Jan-24,Series B,2025-04-14 01:34:50,15
GSI Technology,240,semiconductors,http://www.gsitechnology.com,3-Jan-24,Grant,2025-04-14 01:34:50,15
Paceline,60,"health, wellness & fitness",http://www.paceline.fit,1-Jan-24,Series A,2025-04-14 01:34:50,15
Perplexity AI,36,information technology & services,http://www.perplexity.ai,4-Jan-24,Series B,2025-04-14 01:35:04,16
GSI Technology,240,semiconductors,http://www.gsitechnology.com,3-Jan-24,Grant,2025-04-14 01:35:04,16
Paceline,60,"health, wellness & fitness",http://www.paceline.fit,1-Jan-24,Series A,2025-04-14 01:35:04,16
Perplexity AI,36,information technology & services,http://www.perplexity.ai,4-Jan-24,Series B,2025-04-14 01:35:18,17
GSI Technology,240,semiconductors,http://www.gsitechnology.com,3-Jan-24,Grant,2025-04-14 01:35:18,17
Paceline,60,"health, wellness & fitness",http://www.paceline.fit,1-Jan-24,Series A,2025-04-14 01:35:18,17
Perplexity AI,36,information technology & services,http://www.perplexity.ai,4-Jan-24,Series B,2025-04-14 01:35:32,18
GSI Technology,240,semiconductors,http://www.gsitechnology.com,3-Jan-24,Grant,2025-04-14 01:35:32,18
Paceline,60,"health, wellness & fitness",http://www.paceline.fit,1-Jan-24,Series A,2025-04-14 01:35:32,18
Perplexity AI,36,information technology & services,http://www.perplexity.ai,4-Jan-24,Series B,2025-04-14 01:35:45,19
GSI Technology,240,semiconductors,http://www.gsitechnology.com,3-Jan-24,Grant,2025-04-14 01:35:45,19
Paceline,60,"health, wellness & fitness",http://www.paceline.fit,1-Jan-24,Series A,2025-04-14 01:35:45,19
Perplexity AI,36,information technology & services,http://www.perplexity.ai,4-Jan-24,Series B,2025-04-14 01:35:59,20
GSI Technology,240,semiconductors,http://www.gsitechnology.com,3-Jan-24,Grant,2025-04-14 01:35:59,20
Paceline,60,"health, wellness & fitness",http://www.paceline.fit,1-Jan-24,Series A,2025-04-14 01:35:59,20
Perplexity AI,36,information technology & services,http://www.perplexity.ai,4-Jan-24,Series B,2025-04-14 01:36:13,21
GSI Technology,240,semiconductors,http://www.gsitechnology.com,3-Jan-24,Grant,2025-04-14 01:36:13,21
Paceline,60,"health, wellness & fitness",http://www.paceline.fit,1-Jan-24,Series A,2025-04-14 01:36:13,21
Perplexity AI,36,information technology & services,http://www.perplexity.ai,4-Jan-24,Series B,2025-04-14 01:36:27,22
GSI Technology,240,semiconductors,http://www.gsitechnology.com,3-Jan-24,Grant,2025-04-14 01:36:27,22
Paceline,60,"health, wellness & fitness",http://www.paceline.fit,1-Jan-24,Series A,2025-04-14 01:36:27,22
Perplexity AI,36,information technology & services,http://www.perplexity.ai,4-Jan-24,Series B,2025-04-14 01:36:41,23
GSI Technology,240,semiconductors,http://www.gsitechnology.com,3-Jan-24,Grant,2025-04-14 01:36:41,23
Paceline,60,"health, wellness & fitness",http://www.paceline.fit,1-Jan-24,Series A,2025-04-14 01:36:41,23
