name,description,employee_count,remote,source,location
Gigs,Stripe for phone plans,50-100,True,LinkedIn list,Bay Area (to be verified)
Embrace,mobile observability built on OpenTelemetry,50-100,True,LinkedIn list,Bay Area (to be verified)
PostHog,open source product operating system,50-100,True,LinkedIn list,Bay Area (to be verified)
SafeBase,trust center platform,50-100,True,LinkedIn list,Bay Area (to be verified)
Veryfi,data extraction platform,50-100,True,LinkedIn list,Bay Area (to be verified)
Gather,better way to meet online,50-100,True,LinkedIn list,Bay Area (to be verified)
R2,embedded lending infrastructure,50-100,True,LinkedIn list,Bay Area (to be verified)
Pulley,equity and cap table management,50-100,True,LinkedIn list,Bay Area (to be verified)
