name,funding_amount,location,founding_year,industry,data_source
Algolia,333900000,San Francisco,2012,Search,GitHub Dataset
Astranis,553000000,San Francisco,2015,Space Technology,GitHub Dataset
Bolt,1302000000,San Francisco,2014,FinTech,GitHub Dataset
Chime,2200000000,San Francisco,2013,FinTech,GitHub Dataset
