name,source_url,source
Hottest Startup Categories,https://www.ycombinator.com/companies/location/san-francisco-bay-area,Y Combinator
Startups by Industry,https://www.ycombinator.com/companies/location/san-francisco-bay-area,Y Combinator
Startups by Location,https://www.ycombinator.com/companies/location/san-francisco-bay-area,Y Combinator
Startups Hiring by Location,https://www.ycombinator.com/companies/location/san-francisco-bay-area,Y Combinator
Programs,https://www.ycombinator.com/companies/location/san-francisco-bay-area,Y Combinator
Company,https://www.ycombinator.com/companies/location/san-francisco-bay-area,Y Combinator
Resources,https://www.ycombinator.com/companies/location/san-francisco-bay-area,Y Combinator
Make something people want.,https://www.ycombinator.com/companies/location/san-francisco-bay-area,Y Combinator
