Description,Market,Names,No_Stage_Amount,No_Stage_Date,Pitch,Seed_Amount,Seed_Date,Series_A_Amount,Series_A_Date,Series_B_Amount,Series_B_Date,Series_C_Amount,Series_C_Date,Series_D_Amount,Series_D_Date,Stage,source
"As the leader in messaging technology, Message Systems offers software that powers the world's most complex email, text and mobile app messaging operations.",P2P Money Transfer,Message-Systems,,,,,,"$6,000,000","Mar 25, 2010","$32,000,000","Jun 21, 2012",,,,,Series B,GitHub Repository
,P2P Money Transfer,Achieve-Financial-Services,,,,,,,,"$12,500,000","Mar 20, 2012",,,,,Series B,GitHub Repository
,P2P Money Transfer,Yashi,,,Location Focused Video Advertising,"$3,000,000","Sep 11, 2013","$1,500,000","Nov 19, 2012","$1,500,000","Dec  5, 2013","$4,000,000","Sep 16, 2014",,,Series C,GitHub Repository
