Company,Total_Employees,Industry,Website,Funding_Date,Funding_Type,Funding_Amount_USD,Headquarters,Extraction_Time,Page
Reshape Automation,10,mechanical or industrial engineering,http://www.reshapeautomation.com,10-Sep-24,Seed,5000000,"San Francisco, California, United States",2025-04-15 20:19:13,18
Infinium,62,0,http://www.infiniumco.com,10-Sep-24,Private Equity,0,"Sacramento, California, United States",2025-04-15 20:19:13,18
Blended Technologies,7,information technology & services,http://www.blendedtech.com,10-Sep-24,Seed,2500000,"Napa, California, United States",2025-04-15 20:19:13,18
AttoTude,1,0,http://www.attotude.com,10-Sep-24,Series A,29000000,"Menlo Park, California, United States",2025-04-15 20:19:13,18
Neurona Therapeutics,72,research,http://www.neuronatherapeutics.com,10-Sep-24,Grant,3800000,"San Francisco, California, United States",2025-04-15 20:19:13,18
P0 Security,12,information technology & services,http://www.p0.dev,10-Sep-24,Series A,15000000,"San Francisco, California, United States",2025-04-15 20:19:13,18
PIN AI,8,information technology & services,http://www.pinai.io,9-Sep-24,Pre-Seed,10000000,"California City, California, United States",2025-04-15 20:19:13,18
Race,150,telecommunications,http://www.race.com,9-Sep-24,Private Equity,375000000,"South San Francisco, California, United States",2025-04-15 20:19:13,18
OrsoBio,17,research,http://www.orsobio.com,6-Sep-24,Series B,67000000,"Palo Alto, California, United States",2025-04-15 20:19:13,18
DubClub,36,0,http://www.dubclub.win,5-Sep-24,Series A,7500000,"San Francisco, California, United States",2025-04-15 20:19:13,18
Thatch,48,information technology & services,http://www.thatch.ai,5-Sep-24,Series A,38000000,"San Francisco, California, United States",2025-04-15 20:19:13,18
Drip Capital,330,financial services,http://www.dripcapital.com,5-Sep-24,Debt Financing,90000000,"Palo Alto, California, United States",2025-04-15 20:19:13,18
Acuvity,3,0,http://www.acuvity.ai,5-Sep-24,Seed,9000000,"Sunnyvale, California, United States",2025-04-15 20:19:13,18
Portex,19,0,http://www.portexpro.com,5-Sep-24,Seed,6250000,"Hayward, California, United States",2025-04-15 20:36:07,19
Agree.com,4,0,http://www.agree.com,5-Sep-24,Pre-Seed,3000000,"San Francisco, California, United States",2025-04-15 20:36:07,19
Fiddler AI,76,information technology & services,http://www.fiddler.ai,5-Sep-24,Venture - Series Unknown,18949994,"Palo Alto, California, United States",2025-04-15 20:36:07,19
Cortex,130,information technology & services,http://www.cortex.io,4-Sep-24,Series C,60000000,"San Francisco, California, United States",2025-04-15 20:36:07,19
ArsenalBio,280,research,http://www.arsenalbio.com,4-Sep-24,Series C,325000000,"South San Francisco, California, United States",2025-04-15 20:36:07,19
Ceres Imaging,66,information technology & services,http://www.ceres.ai,4-Sep-24,Series D,0,"Oakland, California, United States",2025-04-15 20:36:07,19
Venova Medical,9,medical devices,http://www.venovamedical.com,4-Sep-24,Series B,30000000,"Los Gatos, California, United States",2025-04-15 20:36:07,19
Climax Foods,39,food production,http://www.climax.bio,4-Sep-24,Debt Financing,0,"Berkeley, California, United States",2025-04-15 20:36:07,19
Flex,10,financial services,http://www.withflex.com,4-Sep-24,Seed,3200000,"San Francisco, California, United States",2025-04-15 20:36:07,19
Circle Pharma,70,research,http://www.circlepharma.com,3-Sep-24,Series D,90000000,"San Francisco, California, United States",2025-04-15 20:36:07,19
Segmed,46,hospital & health care,http://www.segmed.ai,3-Sep-24,Series A,10400000,"Palo Alto, California, United States",2025-04-15 20:36:07,19
Linea Energy,32,0,http://www.lineaenergy.com,3-Sep-24,Debt Financing,145000000,"San Francisco, California, United States",2025-04-15 20:36:07,19
Gainful,63,"health, wellness & fitness",http://www.gainful.com,3-Sep-24,Series B,0,"San Francisco, California, United States",2025-04-15 20:36:07,19
Mintlify,12,information technology & services,http://www.mintlify.com,3-Sep-24,Series A,18500000,"San Francisco, California, United States",2025-04-15 20:36:07,19
Magic Lifescience,12,medical devices,http://www.magiclifescience.com,3-Sep-24,Grant,163398,"Mountain View, California, United States",2025-04-15 20:36:07,19
Approveit,21,information technology & services,http://www.approveit.today,2-Sep-24,Seed,1000000,"San Francisco, California, United States",2025-04-15 20:36:07,19
Weeknd,5,0,http://www.weekndsocial.app,1-Sep-24,Seed,0,"San Francisco, California, United States",2025-04-15 20:36:07,19
Crafty Apes,370,entertainment,http://www.craftyapes.com,30-Aug-24,Debt Financing,0,"El Segundo, California, United States",2025-04-15 20:36:07,19
Codeium,81,information technology & services,http://www.codeium.com,29-Aug-24,Series C,150000000,"Mountain View, California, United States",2025-04-15 20:36:07,19
MIRIS,26,online media,http://www.miris.com,29-Aug-24,Seed,26000000,"Culver City, California, United States",2025-04-15 20:36:07,19
nOps,120,information technology & services,http://www.nops.io,28-Aug-24,Series A,30000000,"San Francisco, California, United States",2025-04-15 20:37:57,20
Uplift Labs,24,information technology & services,http://www.uplift.ai,28-Aug-24,Seed,2100000,"Palo Alto, California, United States",2025-04-15 20:37:57,20
Opus Clip,54,information technology & services,http://www.opus.pro,28-Aug-24,Series A,30000000,"Redwood City, California, United States",2025-04-15 20:37:57,20
Bland AI,11,telecommunications,http://www.bland.ai,28-Aug-24,Series A,16000000,"San Francisco, California, United States",2025-04-15 20:37:57,20
Noetik,22,research,http://www.noetik.ai,28-Aug-24,Series A,40000000,"South San Francisco, California, United States",2025-04-15 20:37:57,20
Inventive AI,10,0,http://www.inventive.ai,28-Aug-24,Seed,4000000,"Mountain View, California, United States",2025-04-15 20:37:57,20
Linker Finance,14,financial services,http://www.linkerfinance.com,27-Aug-24,Seed,3700000,"Pasadena, California, United States",2025-04-15 20:37:57,20
ProhostAI,2,0,http://www.prohost.ai,27-Aug-24,Pre-Seed,1465000,"San Francisco, California, United States",2025-04-15 20:37:57,20
Cribl,790,information technology & services,http://www.cribl.io,27-Aug-24,Series E,200000000,"San Francisco, California, United States",2025-04-15 20:37:57,20
Gameplay Galaxy,57,computer games,http://www.gameplaygalaxy.com,27-Aug-24,Seed,11170000,"San Francisco, California, United States",2025-04-15 20:37:57,20
Spire Global,560,information services,http://www.spire.com,27-Aug-24,Grant,3500000,"San Francisco, California, United States",2025-04-15 20:37:58,20
Fleet,69,information technology & services,http://www.movewithfleet.com,27-Aug-24,Seed,2500000,"Palo Alto, California, United States",2025-04-15 20:37:58,20
just words,7,information technology & services,http://www.justwords.ai,27-Aug-24,Seed,1700000,"San Francisco, California, United States",2025-04-15 20:37:58,20
Planera,22,0,http://www.planera.io,27-Aug-24,Series A,13500000,"Pleasanton, California, United States",2025-04-15 20:37:58,20
Clearway Energy Group,760,utilities,http://www.clearwayenergygroup.com,26-Aug-24,Debt Financing,550000000,"San Francisco, California, United States",2025-04-15 20:37:58,20
Tavoro,3,information technology & services,http://www.tavoro.com,26-Aug-24,Seed,2500000,"San Francisco, California, United States",2025-04-15 20:37:58,20
Accession Risk Management Group,26,insurance,http://www.accessionrmg.com,22-Aug-24,Debt Financing,1000000000,"Sacramento, California, United States",2025-04-15 20:37:58,20
Openwater,30,medical devices,http://www.openwater.health,22-Aug-24,Venture - Series Unknown,54000000,"San Francisco, California, United States",2025-04-15 20:37:58,20
Scale AI,4100,information technology & services,http://www.scale.com,21-Aug-24,Series C,1000000000,"San Francisco, California, United States",2025-04-15 20:37:58,20
Kodiak Robotics,210,information technology & services,http://www.kodiak.ai,21-Aug-24,Series C,0,"Mountain View, California, United States",2025-04-15 20:37:58,20
Qualified Digital,58,marketing & advertising,http://www.qualifiedigital.com,21-Aug-24,Private Equity,0,"Oakland, California, United States",2025-04-15 20:38:08,21
Skyfire Systems,3,financial services,http://www.skyfire.xyz,21-Aug-24,Seed,8500000,"San Francisco, California, United States",2025-04-15 20:38:08,21
XII Medical,27,medical devices,http://www.xiimedical.com,21-Aug-24,Series B,45000000,"Union City, California, United States",2025-04-15 20:38:08,21
Piramidal,6,information technology & services,http://www.piramidal.ai,21-Aug-24,Seed,6000000,"San Francisco, California, United States",2025-04-15 20:38:08,21
Lettuce Financial,15,financial services,http://www.lettuce.co,21-Aug-24,Series A,15000000,"San Francisco, California, United States",2025-04-15 20:38:08,21
Enteligent,24,semiconductors,http://www.enteligent.com,20-Aug-24,Seed,6000000,"San Jose, California, United States",2025-04-15 20:38:08,21
Starpath Robotics,15,aviation & aerospace,http://www.starpath.space,20-Aug-24,Seed,12000000,"San Francisco, California, United States",2025-04-15 20:38:08,21
Kubiya.ai,23,information technology & services,http://www.kubiya.ai,20-Aug-24,Seed,6000000,"Palo Alto, California, United States",2025-04-15 20:38:08,21
Marathon Fusion,10,0,http://www.marathonfusion.com,20-Aug-24,Grant,5900000,"San Francisco, California, United States",2025-04-15 20:38:08,21
Pangeam Inc.,12,information technology & services,http://www.pangeam.com,20-Aug-24,Seed,2750000,"San Francisco, California, United States",2025-04-15 20:38:08,21
Eppo,64,information technology & services,http://www.geteppo.com,20-Aug-24,Series B,28000000,"San Francisco, California, United States",2025-04-15 20:38:08,21
Fortera,85,mechanical or industrial engineering,http://www.forteraglobal.com,20-Aug-24,Series C,85000000,"San Jose, California, United States",2025-04-15 20:38:08,21
Exin Health,10,hospital & health care,http://www.exinhealth.ai,19-Aug-24,Seed,0,"Palo Alto, California, United States",2025-04-15 20:38:08,21
Fabric Cryptography,45,computer hardware,http://www.fabriccryptography.com,19-Aug-24,Series A,33000000,"San Francisco, California, United States",2025-04-15 20:38:08,21
Ensemble AI,7,information technology & services,http://www.ensemblecore.ai,15-Aug-24,Seed,3300000,"San Francisco, California, United States",2025-04-15 20:38:08,21
Era Finance,10,financial services,http://www.era.app,15-Aug-24,Venture - Series Unknown,9362409,"San Francisco, California, United States",2025-04-15 20:38:08,21
Kiteworks,250,information technology & services,http://www.kiteworks.com,14-Aug-24,Private Equity,456000000,"San Mateo, California, United States",2025-04-15 20:38:08,21
nunu.ai,3,0,http://www.nunu.ai,14-Aug-24,Pre-Seed,2000000,"San Francisco, California, United States",2025-04-15 20:38:08,21
Moximed,51,medical devices,http://www.moximed.com,13-Aug-24,Series D,61000000,"Hayward, California, United States",2025-04-15 20:38:08,21
Guidewheel,56,information technology & services,http://www.guidewheel.com,13-Aug-24,Series B,31000000,"San Francisco, California, United States",2025-04-15 20:38:08,21
Cision Vision,9,medical devices,http://www.cisionvision.com,13-Aug-24,Grant,22300000,"Mountain View, California, United States",2025-04-15 20:38:17,22
PayZen,68,information technology & services,http://www.payzen.com,13-Aug-24,Debt Financing,200000000,"San Francisco, California, United States",2025-04-15 20:38:17,22
Voltera,84,0,http://www.volterapower.com,13-Aug-24,Debt Financing,100000000,"Palo Alto, California, United States",2025-04-15 20:38:17,22
"HeatMap, Inc",25,0,http://www.heatmap.com,13-Aug-24,Seed,4000000,"San Francisco, California, United States",2025-04-15 20:38:17,22
Cosine,9,information technology & services,http://www.cosine.sh,12-Aug-24,Seed,2500000,"San Francisco, California, United States",2025-04-15 20:38:17,22
DevRev,450,information technology & services,http://www.devrev.ai,9-Aug-24,Series A,100825173,"Palo Alto, California, United States",2025-04-15 20:38:17,22
Double,7,financial services,http://www.double.finance,9-Aug-24,Seed,500000,"San Francisco, California, United States",2025-04-15 20:38:17,22
Brisk Teaching,18,education management,http://www.briskteaching.com,9-Aug-24,Venture - Series Unknown,6899995,"Los Altos, California, United States",2025-04-15 20:38:17,22
Feeling Great,28,mental health care,http://www.feelinggreat.com,8-Aug-24,Seed,8000000,"San Francisco, California, United States",2025-04-15 20:38:17,22
Reforged Labs,14,information technology & services,http://www.reforgedlabs.com,8-Aug-24,Seed,3900000,"Mountain View, California, United States",2025-04-15 20:38:17,22
Opal,21,electrical/electronic manufacturing,http://www.opalcamera.com,8-Aug-24,Series B,60000000,"San Francisco, California, United States",2025-04-15 20:38:17,22
Switchback Systems,12,research,http://www.switchbacksys.com,8-Aug-24,Venture - Series Unknown,10088281,"Santa Cruz, California, United States",2025-04-15 20:38:17,22
Bardeen,40,information technology & services,http://www.bardeen.ai,8-Aug-24,Venture - Series Unknown,3000000,"San Francisco, California, United States",2025-04-15 20:38:17,22
Bryte,74,electrical/electronic manufacturing,http://www.bryte.com,8-Aug-24,Venture - Series Unknown,1000000,"Los Altos, California, United States",2025-04-15 20:38:17,22
Ionetix,63,pharmaceuticals,http://www.ionetix.com,7-Aug-24,Venture - Series Unknown,0,"San Francisco, California, United States",2025-04-15 20:38:17,22
Anjuna,47,computer & network security,http://www.anjuna.io,7-Aug-24,Series B,25000000,"Palo Alto, California, United States",2025-04-15 20:38:17,22
Flow,120,financial services,http://www.flowinc.com,7-Aug-24,Venture - Series Unknown,6000000,"San Francisco, California, United States",2025-04-15 20:38:17,22
Napkin AI,9,information technology & services,http://www.napkin.ai,7-Aug-24,Seed,10000000,"Los Altos, California, United States",2025-04-15 20:38:17,22
Datch,36,information technology & services,http://www.datch.io,7-Aug-24,Series A,15000000,"San Francisco, California, United States",2025-04-15 20:38:17,22
Greptime,18,0,http://www.greptime.com,7-Aug-24,Series A,0,"Sunnyvale, California, United States",2025-04-15 20:38:17,22
Sundial,58,information technology & services,http://www.sundial.so,6-Aug-24,Venture - Series Unknown,23348218,"Palo Alto, California, United States",2025-04-15 20:38:25,23
Mechanical Orchard,85,information technology & services,http://www.mechanical-orchard.com,6-Aug-24,Series B,50000000,"San Francisco, California, United States",2025-04-15 20:38:25,23
MentalHappy,10,"health, wellness & fitness",http://www.mentalhappy.com,6-Aug-24,Venture - Series Unknown,500000,"San Francisco, California, United States",2025-04-15 20:38:25,23
Abnormal Security,780,computer & network security,http://www.abnormalsecurity.com,6-Aug-24,Series D,250000000,"San Francisco, California, United States",2025-04-15 20:38:25,23
Climatize,12,financial services,http://www.climatize.earth,6-Aug-24,Pre-Seed,1750000,"Santa Cruz, California, United States",2025-04-15 20:38:25,23
Shinobi Therapeutics,22,research,http://www.shinobitx.com,6-Aug-24,Series A,68000000,"South San Francisco, California, United States",2025-04-15 20:38:25,23
Curio Research,4,computer games,http://www.curio.gg,6-Aug-24,Seed,5700000,"San Francisco, California, United States",2025-04-15 20:38:25,23
Muon Space,92,aviation & aerospace,http://www.muonspace.com,5-Aug-24,Series B,56703744,"Mountain View, California, United States",2025-04-15 20:38:25,23
Groq,290,semiconductors,http://www.groq.com,5-Aug-24,Series D,640000000,"Mountain View, California, United States",2025-04-15 20:38:25,23
AutoComplete,33,insurance,http://www.autocomplete.io,5-Aug-24,Seed,0,"San Francisco, California, United States",2025-04-15 20:38:25,23
Solarcycle,65,0,http://www.solarcycle.us,1-Aug-24,Venture - Series Unknown,31629998,"Oakland, California, United States",2025-04-15 20:38:25,23
Hedra,13,media production,http://www.hedra.com,1-Aug-24,Seed,10000000,"San Francisco, California, United States",2025-04-15 20:38:25,23
Skillfully,39,information technology & services,http://www.skillful.ly,1-Aug-24,Seed,2500000,"San Francisco, California, United States",2025-04-15 20:38:25,23
Global Predictions,8,financial services,http://www.globalpredictions.com,1-Aug-24,Seed,2000000,"San Francisco, California, United States",2025-04-15 20:38:25,23
Tezi,8,information technology & services,http://www.tezi.ai,31-Jul-24,Seed,9000000,"Menlo Park, California, United States",2025-04-15 20:38:25,23
Thumbtack,1500,information technology & services,http://www.thumbtack.com,31-Jul-24,Debt Financing,75000000,"San Francisco, California, United States",2025-04-15 20:38:25,23
Swords to Plowshares,240,nonprofit organization management,http://www.swords-to-plowshares.org,31-Jul-24,Grant,0,"San Francisco, California, United States",2025-04-15 20:38:25,23
Ema,47,information technology & services,http://www.ema.co,31-Jul-24,Series A,36000000,"Mountain View, California, United States",2025-04-15 20:38:25,23
Endari,0,computer & network security,http://www.endari.com,31-Jul-24,Seed,4000000,"Palo Alto, California, United States",2025-04-15 20:38:25,23
Streamkap,12,information technology & services,http://www.streamkap.com,31-Jul-24,Seed,3300000,"San Francisco, California, United States",2025-04-15 20:38:26,23
