uniqueid,business_id,certificate_number,owner,name,address,city,state,zip_code,dba_start_date,founded_date,mailing_address_1,mail_city,mail_zipcode,mail_state,naic_code_x,naic_code_description_x,naics_code_descriptions_list,parking_tax,transient_occupancy_tax,supervisor_district,neighborhoods_analysis_boundaries,location,data_as_of,data_loaded_at,dba_end_date,location_end_date,lic,lic_code_description,lic_code_descriptions_list,administratively_closed,business_corridor,naic_code_y,naic_code_description_y,is_tech,name_contains_tech,description,Name,Website,industry,Country,funding_amount,funding_stage,Last Funding Date,location_funding,founding_year,valuation,data_source,recent_by_founded_date,recent_by_founding_year,has_funding,is_tech_industry,is_startup,funding_category
1274816-04-211-0391825,1274816-04-211,0391825,Net App Inc,"Netapp, Inc.",565 Commercial St Ste 200,San Francisco,CA,94111,2013-05-31,2020-05-01,3060 Olsen Dr,San Jose,95128,CA,3100-3399,Manufacturing,Manufacturing,False,False,3,Chinatown,"{'type': 'Point', 'coordinates': [-122.4026055, 37.794087]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,,,,,,3100-3399,Manufacturing,False,True,,,,,,,,,,,,DataSF,True,False,False,False,True,Unknown
,,,,Stripe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment processing platform,,,FinTech,,2200000000.0,,,San Francisco,2010.0,50000000000.0,StartupList + CB Insights,False,False,True,True,True,Mega Round (>$100M)
,,,,Airtable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collaborative database platform,,,,,,,,,,,StartupList,False,False,False,False,False,Unknown
,,,,Rippling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Employee management platform,,,HR Tech,,1200000000.0,,,San Francisco,2016.0,11250000000.0,StartupList + CB Insights,False,False,True,False,True,Mega Round (>$100M)
,,,,Notion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All-in-one workspace,,,,,,,,,,,StartupList,False,False,False,False,False,Unknown
,,,,Figma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collaborative design platform,,,,,,,,,,,StartupList,False,False,False,False,False,Unknown
